n,x_n,f_m,E
107,47.6541545279961,221477662327465,1.44269504088885
108,46.2114594871074,81477078648973.3,1.44269504088867
109,44.7687644462193,29973742161654.7,1.44269504088817
110,43.3260694053324,11026723516235.5,1.44269504088687
111,41.8833743644489,4056504885094.19,1.44269504088349
112,40.4406793235743,1492304750227.52,1.44269504087458
113,38.9979842827231,548988237561.415,1.44269504085126
114,37.5552892419328,201961486034.396,1.44269504079027
115,36.1125942013018,74297478611.4759,1.44269504063099
116,34.6698991610861,27332514903.4064,1.44269504021575
117,33.2272041219509,10055070300.226,1.44269503913513
118,31.7845090856224,3699053635.11866,1.44269503632854
119,30.3418140565673,1360805776.66383,1.44269502905513
120,28.8991190463165,500612461.556363,1.44269501025078
121,27.4564240845531,184165025.876437,1.4426949617634
122,26.013729247448,67750520.4595894,1.44269483710503
